,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
3782,681453769,False,finalized,3,2/25/15 1:40,negative,1.0,Late Flight,1.0,United,,jordanslott,,0,@United UA1740. As the inbound flight dep time gets closer you push it back 15 min. You've been doing this for 2 hrs.,,2/18/15 11:27,5.6813e+17,"Jersey City, NJ",
7349,681457850,False,finalized,3,2/25/15 10:03,negative,1.0,Late Flight,0.6332,Delta,,jessbutl,,0,@JetBlue thanks for the response. Just been waiting for 5 hours and really frustrated. Seems like no one at JetBlue is concerned.,,2/22/15 16:18,5.69653e+17,"Brooklyn, NY",
11857,681463159,False,finalized,3,2/25/15 4:42,positive,0.6729,,,US Airways,,DAngel082,,0,@USAirways  thanks I hope I get to my destination,,2/17/15 8:47,5.67727e+17,New York,
7361,681457862,False,finalized,3,2/25/15 9:42,neutral,1.0,,,Delta,,GinaMarie_F,,0,@JetBlue Is that a guarantee? We'll see about that tomorrow morning when I have to fight for a seat.,"[40.61883222, -74.015404]",2/22/15 15:50,5.69646e+17,Brooklyn =),Eastern Time (US & Canada)
6243,681456495,False,finalized,3,2/25/15 3:21,negative,0.6659999999999999,Flight Booking Problems,0.33399999999999996,Southwest,,BryanAndaya,,0,@SouthwestAir it was this one but looks like the problem is now fixed. https://t.co/CFI1E3KXA9,"[0.0, 0.0]",2/18/15 9:35,5.68102e+17,"Houston, Texas",Mountain Time (US & Canada)
9789,681461075,False,finalized,3,2/25/15 2:21,negative,0.6869,Late Flight,0.6869,US Airways,,crescentmoon01,,0,"@USAirways #fail when the inbound flight arrives after the scheduled outbound departure, and still ""on time"" http://t.co/k0MHZrJF6e",,2/22/15 17:15,5.69667e+17,"Alexandria, VA",Eastern Time (US & Canada)
10311,681461602,False,finalized,3,2/25/15 5:36,negative,0.6656,Late Flight,0.3421,US Airways,,ch_mom,,0,ÛÏ@USAirways: @ch_mom Please reach out to our crewmember for assistance. Our apologies for the long wait.Û #generic,,2/21/15 21:56,5.69375e+17,"Boston, MA",
3556,681453419,False,finalized,3,2/25/15 3:55,negative,1.0,Customer Service Issue,0.3696,United,,patrick_maness,,0,@united I would have made it if you hadn't already booked me on another flight and Cancelled Flighted my original reservation.,,2/18/15 20:51,5.68272e+17,Rhode Island,Eastern Time (US & Canada)
619,681449113,False,finalized,3,2/25/15 3:12,negative,1.0,Late Flight,0.6854,United,,Twist_OP,,0,@united ua1673 still waiting! Supposed to depart 9:08,,2/24/15 7:42,5.70247e+17,Midwest,Central Time (US & Canada)
2403,681451656,False,finalized,3,2/25/15 2:20,negative,1.0,Cancelled Flight,1.0,United,,luko,,0,@united terrible travel experience. Traveled 8000 miles roundtrip but two Cancelled Flightlations of short hops cost me two days,,2/21/15 12:05,5.69226e+17,Pittsburgh,Quito
6671,681457004,False,finalized,3,2/25/15 2:15,neutral,1.0,,,Southwest,,AirTraffic101,,0,@SouthwestAir landing early morning @BWI_Airport after snowfall. http://t.co/apRZsPxigE,,2/17/15 9:30,5.67738e+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
14600,681679759,False,finalized,3,2/25/15 19:01,neutral,0.6521,,,American,,EricRoberts,,0,http://t.co/EIw2sYb8Fu roberts&amp;s=1 @AmericanAir,,2/22/15 12:22,5.69593e+17,"Los Angeles, CA",Pacific Time (US & Canada)
2913,681452524,False,finalized,3,2/25/15 4:24,positive,1.0,,,United,,Mammothchowder,,0,@united I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!,,2/20/15 10:01,5.68833e+17,Mammoth Lakes ,
413,681448905,False,finalized,3,2/25/15 10:10,neutral,1.0,,,Virgin America,,jsamaudio,,0,@VirginAmerica no A's channel this year?,,2/18/15 12:25,5.68144e+17,St. Francis (Calif.),Pacific Time (US & Canada)
682,681449177,False,finalized,3,2/25/15 9:41,negative,1.0,Customer Service Issue,1.0,United,,BrittanyWolgast,,0,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(,,2/24/15 3:51,5.70189e+17,,Central Time (US & Canada)
12627,681677775,False,finalized,3,2/25/15 19:13,positive,0.669,,,American,,lczand,,0,@AmericanAir thank you,,2/23/15 20:51,5.70084e+17,SE USA,Central Time (US & Canada)
11804,681463106,False,finalized,3,2/25/15 2:15,negative,1.0,Can't Tell,1.0,US Airways,,_JoeChuck,,0,@USAirways @AmericanAir what a joke of a company today reminded me why I never book with you,,2/17/15 10:23,5.67751e+17,CT to Queens ,Eastern Time (US & Canada)
12449,681677597,False,finalized,3,2/25/15 19:34,neutral,1.0,,,American,,wbarkema,,0,@AmericanAir try this. DPDFPP,,2/24/15 3:23,5.70182e+17,,Central Time (US & Canada)
1802,681450868,False,finalized,3,2/25/15 8:20,negative,0.6897,Lost Luggage,0.6897,United,,DangVanda,,0,"@united, no. Re-booked with American and United said they'd transfer our bags to them.",,2/22/15 11:28,5.69579e+17,STL,
6377,681456629,False,finalized,3,2/25/15 2:15,negative,1.0,Cancelled Flight,1.0,Southwest,,ColeyGirouard,,0,"@SouthwestAir I am scheduled for the morning, 2 days after the fact, yes..not sure why my evening flight was the only one Cancelled Flightled",,2/17/15 20:16,5.679e+17,Washington D.C.,Atlantic Time (Canada)
12504,681677652,False,finalized,3,2/25/15 18:54,negative,1.0,Can't Tell,0.6936,American,,blueswingpark,,0,"@AmericanAir I have emailed several times.hand wrote a letter,went to airport,called.please fix this! Or @abc7newsBayArea please help!",,2/24/15 0:44,5.70142e+17,san francisco califorania,Pacific Time (US & Canada)
11765,681463067,False,finalized,3,2/25/15 8:23,negative,1.0,Customer Service Issue,0.6845,US Airways,,_JoeChuck,,1,@USAirways on hold for 2 hours. You know what just keep my money,,2/17/15 11:44,5.67772e+17,CT to Queens ,Eastern Time (US & Canada)
9112,681460166,False,finalized,3,2/25/15 7:07,negative,1.0,Lost Luggage,1.0,US Airways,,kintheusa,,0,@USAirways can you DM please in regards to update on lost bag please.,,2/24/15 5:31,5.70214e+17,,
5752,681455755,False,finalized,3,2/25/15 9:03,positive,1.0,,,Southwest,,Lb364,,0,@SouthwestAir when are you releasing your flights for September? Just found out you fly direct lbb to las! So excited! #tripofalifetime,,2/20/15 1:04,5.68698e+17,,
7674,681458394,False,finalized,3,2/25/15 3:27,negative,1.0,Customer Service Issue,0.6946,Delta,,jrcoonley,,0,@JetBlue that is not what your employee at Logan told me. I finally got one to meet my daughter on her first solo flight after rude rep :(,,2/21/15 20:52,5.69359e+17,,Quito
8208,681458989,False,finalized,3,2/25/15 3:09,neutral,1.0,,,Delta,,aclaessen,,0,@JetBlue we are bringing 2 guitars. can we bring them as carry on?,,2/19/15 18:53,5.68604e+17,Hollywood,Pacific Time (US & Canada)
10552,681461844,False,finalized,3,2/25/15 3:32,negative,1.0,Customer Service Issue,1.0,US Airways,,donnieberaskow,,0,@USAirways what happens if the flight takes off before we Cancelled Flight?? That's the issue. We don't want to pay because of your inaccessibility!,,2/21/15 9:43,5.69191e+17,"Toronto, ON",Eastern Time (US & Canada)
13842,681679000,False,finalized,3,2/25/15 19:18,negative,1.0,Customer Service Issue,1.0,American,,JesseSheriff,,0,"@AmericanAir is the new @SpiritAirlines, and both are worse than taking the @GreyhoundBus #americanairlines #nocustomerservice #fail",,2/22/15 19:41,5.69704e+17,West Palm Beach,Eastern Time (US & Canada)
2529,681451919,False,finalized,3,2/25/15 9:38,negative,0.6479,Can't Tell,0.3464,United,,BDWiese,,0,"@united really, fill out a form about my flight experience? I sent an email to the 1K email address.",,2/21/15 5:26,5.69126e+17,"New Jersey, USA",
8034,681458807,False,finalized,3,2/25/15 3:50,neutral,1.0,,,Delta,,islandershf,,0,@JetBlue is flt 1202 delayed?,,2/20/15 11:13,5.68851e+17,,Eastern Time (US & Canada)
4391,681454381,False,finalized,3,2/25/15 9:57,negative,1.0,Bad Flight,0.3542,Southwest,,bmorechi,,0,"@SouthwestAir had to let us off the plane bc the toilets done even work! There goes my family vacay to playa del Carmen, Mexico! #neveragain",,2/24/15 9:28,5.70274e+17,Chicago,Central Time (US & Canada)
10635,681461927,False,finalized,3,2/25/15 9:28,negative,0.68,Can't Tell,0.35,US Airways,,WTFloris,,0,"@USAirways Umm, can you define 'extra time'?",,2/21/15 2:36,5.69083e+17,Raxacoricofallapatorius,Amsterdam
8348,681459211,False,finalized,3,2/25/15 9:03,positive,1.0,,,Delta,,alexnazaryan,,0,"@JetBlue Utah, I think. And thanks!",,2/19/15 8:41,5.6845e+17,New York City,Atlantic Time (Canada)
7188,681457686,False,finalized,3,2/25/15 2:18,positive,0.6701,,0.0,Delta,,JamesMSama,,0,"@JetBlue good to know, thanks so much!",,2/23/15 9:00,5.69905e+17,"Boston, MA.",Eastern Time (US & Canada)
4689,681454682,False,finalized,3,2/25/15 9:14,negative,0.6598,Can't Tell,0.6598,Southwest,,collaziano,,0,@SouthwestAir That does sound hopeful. It's a very thin device so I just hope the right person found it in time.,,2/23/15 10:48,5.69932e+17,"Royal Palm Beach, FL, USA",Eastern Time (US & Canada)
2720,681452312,False,finalized,3,2/25/15 2:30,negative,1.0,Customer Service Issue,1.0,United,,KatieJelen,,0,"@united Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL",,2/20/15 16:46,5.68935e+17,"Los Angeles, CA (via Philly)",Pacific Time (US & Canada)
6668,681456998,False,finalized,3,2/25/15 5:57,negative,1.0,Cancelled Flight,0.6836,Southwest,,etachoir,,0,@southwestair Thanks. Yes I got through. Biggest frustration is that I'm no longer able to check in online for my flight after 4 Cancelled Flights.,,2/17/15 9:32,5.67738e+17,"Brooklyn, NY",Eastern Time (US & Canada)
1691,681450640,False,finalized,3,2/25/15 9:16,negative,1.0,Can't Tell,1.0,United,,mathardin,,0,"@united you could give me free flights for life, and I'd still choose to purchase my tickets from a competitor.",,2/22/15 14:22,5.69623e+17,Corpus Christi,
5344,681455342,False,finalized,3,2/25/15 4:44,negative,1.0,Cancelled Flight,1.0,Southwest,,michaelroselle,,0,"@SouthwestAir are any flights leaving DC today? Flight was Cancelled Flightled, been on hold for over an hour.",,2/21/15 8:48,5.69177e+17,"Oklahoma City, OK",Eastern Time (US & Canada)
6885,681457376,False,finalized,3,2/25/15 8:56,negative,1.0,Lost Luggage,0.6666,Delta,,DarthVada_R2D2,,0,@JetBlue - I did that as soon as I realized. Will they try to figure out who is stealing from people's bags? Security cameras? Anything?,,2/23/15 19:23,5.70061e+17,,Atlantic Time (Canada)
8823,681459862,False,finalized,3,2/25/15 3:35,negative,1.0,Late Flight,0.6989,Delta,,bioldame491,,0,"@JetBlue flight 894, first officer not even at the airport wow!!!!!! Unreal, staff waited until we all boarded to announce we are delayed.",,2/17/15 14:43,5.67817e+17,"New York, NY",Eastern Time (US & Canada)
12644,681677793,False,finalized,3,2/25/15 19:12,negative,1.0,Flight Booking Problems,0.6564,American,,kiasuchick,,0,@AmericanAir I booked it on US Airways site. Don't see a Cancelled Flight link :(,,2/23/15 20:29,5.70078e+17,"Los Angeles, CA",Pacific Time (US & Canada)
8651,681459689,False,finalized,3,2/25/15 6:10,negative,0.6344,Can't Tell,0.3419,Delta,,vincenzolandino,,0,"It's on me, @JetBlue! That's not what you said last night, though... :(",,2/18/15 8:12,5.68081e+17,NYC | CT,Eastern Time (US & Canada)
6489,681456741,False,finalized,3,2/25/15 1:40,negative,1.0,Customer Service Issue,1.0,Southwest,,Laulipop517,,0,"@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help",,2/17/15 14:58,5.6782e+17,,
5683,681455684,False,finalized,3,2/25/15 4:17,negative,1.0,Customer Service Issue,0.6507,Southwest,,ohshititsjake,,0,@SouthwestAir how long does it take for points from RR Shopping to post to my account? Got email saying I've earned points but don't see em,,2/20/15 8:24,5.68808e+17,San Francisco,Pacific Time (US & Canada)
12816,681677970,False,finalized,3,2/25/15 18:58,negative,1.0,Can't Tell,0.3534,American,,monumentsinking,,0,@AmericanAir What are we going to do about the nightmare you guys out me through yesterday? Zero response from the tweet you last sent me.,,2/23/15 15:56,5.70009e+17,PDX JFK SFO BDL,Pacific Time (US & Canada)
13013,681678168,False,finalized,3,2/25/15 19:16,positive,1.0,,,American,,scottfmurphy,,0,"@AmericanAir Well, you guys are totally kicking a million pounds of ass. Bar none, the best SM team in the airline industry in my opinion.",,2/23/15 12:43,5.69961e+17,"New York, NY",Central Time (US & Canada)
11251,681462550,False,finalized,3,2/25/15 4:34,negative,1.0,Flight Attendant Complaints,0.6771,US Airways,,ncuccia,,0,@USAirways testing my patience this evening (or shall I say morning?). We waited an hour at the gate for you to find a gate agent.  130am,,2/18/15 22:39,5.68299e+17,,Quito
2854,681452457,False,finalized,3,2/25/15 2:46,negative,1.0,Flight Attendant Complaints,0.6842,United,,GottaGoFlying,,0,@united MIA-EWR #384 _Ù÷ã_Ù÷ã_Ù÷ã excellent crew. EWR-IAD #3589 _Ù÷Á_Ù÷Á_Ù÷Á No crew to load bags - waiting w/ door open freezing. 20 mins past departure.,,2/20/15 12:01,5.68863e+17,,Eastern Time (US & Canada)
5434,681455433,False,finalized,3,2/25/15 3:00,neutral,0.6995,,0.0,Southwest,,215strongbul,,0,@SouthwestAir DAL is due for sleet Sun. eve-didn't see it listed for cities that can re-book?  Fly to DCA at 8:10,,2/20/15 23:08,5.69031e+17,,Quito
987,681449667,False,finalized,3,2/25/15 2:04,negative,1.0,Flight Attendant Complaints,0.3416,United,,cristobalwong,,1,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable,,2/23/15 13:32,5.69973e+17,San Francisco Bay Area,
12966,681678121,False,finalized,3,2/25/15 19:22,negative,1.0,Can't Tell,0.6777,American,,ezemanalyst,,0,"@AmericanAir hah, best flight attendant response, if you not happy getting screwed over, you have other carriers.   hahahah pathetic",,2/23/15 13:30,5.69973e+17,,
2861,681452464,False,finalized,3,2/25/15 6:54,negative,1.0,Customer Service Issue,0.6407,United,,DavidM2357,,0,"@united No. SATO rebooked me. Just upset that my travel office had to fix this, and you couldn't.",,2/20/15 11:46,5.68859e+17,"Charleston, SC",
793,681449338,False,finalized,3,2/25/15 4:48,negative,1.0,Cancelled Flight,0.7201,United,,fortytoo,,0,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund",,2/23/15 20:35,5.7008e+17,"WX report for 41 Mile, Hwy 50",Pacific Time (US & Canada)
2844,681452447,False,finalized,3,2/25/15 9:36,positive,1.0,,,United,,urno12,,0,@united thank you thank you thank you for contacting me. Thank you for the offer of a $1000 travel certificate #unitedairlines,,2/20/15 12:37,5.68872e+17,bonkers in Yonkers,New Delhi
4501,681454491,False,finalized,3,2/25/15 2:03,negative,1.0,Customer Service Issue,0.6804,Southwest,,amymiller305,,0,"@SouthwestAir customer service at FLL, BWI,and PIT have been terrible.no one knows where his bags are.his is on a job with no clothes &amp; gear",,2/24/15 4:29,5.70199e+17,South Florida ,
14098,681679256,False,finalized,3,2/25/15 19:01,neutral,0.6458,,0.0,American,,rcwhalen,,0,@AmericanAir 8:30 departure?  Sure. Is there a catering strike at JFK?  @FoxNews @CNBC @BloombergRadio http://t.co/HPgXYZRW8o,,2/22/15 17:15,5.69667e+17,New York City,
6919,681457416,False,finalized,3,2/25/15 4:50,neutral,1.0,,,Delta,,babasnooker,,0,"@JetBlue When chging flight, isit possible to pay the fare difference in dollars when the ticket was bought completely via point redemption?",,2/23/15 16:43,5.70021e+17,,
11360,681462660,False,finalized,3,2/25/15 1:29,positive,0.7049,,,US Airways,,davegoldfarb,,0,@USAirways we haven't departed yet so let's not get too high hopes.  But everything has been on schedule so far,,2/18/15 14:13,5.68172e+17,"Delray Beach, FL",Eastern Time (US & Canada)
3654,681453585,False,finalized,3,2/25/15 3:22,positive,0.6753,,,United,,RobandMeg,,0,"@united landing in anchorage, then on our way to fairbanks! http://t.co/FjkvQMbmaS",,2/18/15 16:23,5.68204e+17,"Staten Island, NY",Eastern Time (US & Canada)
8030,681458803,False,finalized,3,2/25/15 7:17,positive,0.6667,,,Delta,,spark911uk,,0,@JetBlue @AmericanAir ah ha! I misread the end date as being 2014 not 2015. Thanks for clarifying :),"[0.0, 0.0]",2/20/15 11:28,5.68855e+17,New York City,Eastern Time (US & Canada)
523,681449016,False,finalized,3,2/25/15 7:24,negative,1.0,Lost Luggage,0.6886,United,,Nikki62878,,0,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",,2/24/15 11:03,5.70298e+17,,
4653,681454645,False,finalized,3,2/25/15 2:39,negative,1.0,Late Flight,0.6422,Southwest,,arscolari,,0,@SouthwestAir is this a sick joke? #toyingwithouremotions,,2/23/15 12:28,5.69957e+17,,
13847,681679005,False,finalized,3,2/25/15 19:05,neutral,0.7023,,,American,,quadbaconHD,,0,"@AmericanAir I already landed! But, if you still care it was 1891. Thanks for the help though!, do you k ow what caused the failure?","[30.2772503, -81.38732586]",2/22/15 19:34,5.69702e+17,"Jacksonville Beach, Florida ",Central Time (US & Canada)
8058,681458831,False,finalized,3,2/25/15 5:46,negative,1.0,Late Flight,0.6895,Delta,,The_Radifier,,0,@JetBlue dont really know what that means but this isnt the best first-time-flying-w-a-16mo old experience. likelihood of addtl delays 2nt?,,2/20/15 9:39,5.68827e+17,"Arlington, VA",Atlantic Time (Canada)
3596,681453487,False,finalized,3,2/25/15 9:22,neutral,1.0,,,United,,MarshBrentnall,,0,@united can you please tell me where United flies to from Sydney Australia - pref Asia Pac or US as I have a voucher to redeem.,"[0.0, 0.0]",2/18/15 19:18,5.68248e+17,"Rozelle, NSW",Sydney
2569,681452003,False,finalized,3,2/25/15 0:59,negative,1.0,Customer Service Issue,1.0,United,,dlm_3,,0,@united yes there is when you keep getting the same robotic answer.,,2/21/15 0:22,5.69049e+17,Global,Eastern Time (US & Canada)
1459,681450321,False,finalized,3,2/25/15 4:27,negative,0.6571,Can't Tell,0.3429,United,,ssapol5722,,0,@united is there nothing you can do for me? No compensation at all? Given the circumstances I feel like there must be something you can do,,2/22/15 20:08,5.6971e+17,New Jersey,Quito
8840,681459879,False,finalized,3,2/25/15 7:23,neutral,0.6773,,0.0,Delta,,RuizRichard,,0,"@JetBlue It's for me, I spoke with a rep on the phone who suggested I ""Voice a concern"" via ""Email us"" on your site. I did a few moments ago",,2/17/15 14:06,5.67807e+17,"Miramar, Florida",Eastern Time (US & Canada)
7898,681458658,False,finalized,3,2/25/15 3:11,negative,1.0,Lost Luggage,1.0,Delta,,mattwheeler,,0,"@JetBlue yeah that's all been done. Define ""incidentals""? How much can I spend on gear so this trip is not a waste?","[40.64342444, -111.49392569]",2/21/15 0:12,5.69047e+17,"New York, NY",Eastern Time (US & Canada)
3287,681452960,False,finalized,3,2/25/15 2:17,negative,1.0,Late Flight,0.3638,United,,bryandey,,1,@united I am a comedian and I promise I will make fun of you on stage tonight.,,2/19/15 15:29,5.68553e+17,Texan in Los Angeles ,
2178,681451414,False,finalized,3,2/25/15 4:25,negative,0.6762,Flight Attendant Complaints,0.3524,United,,patrick_maness,,0,@united My contact stuff is in the bag and I'm legally blind. This is so messed up.,,2/21/15 18:49,5.69328e+17,Rhode Island,Eastern Time (US & Canada)
10277,681461568,False,finalized,3,2/25/15 10:08,negative,1.0,Customer Service Issue,0.6977,US Airways,,fieldhockeyfit,,0,@USAirways I have been on hold for 4 hours my flight is tomorrow do you really expect me to not sleep all night to stay on hold?!?,,2/22/15 0:03,5.69407e+17,,
10386,681461677,False,finalized,3,2/25/15 3:50,negative,1.0,Lost Luggage,1.0,US Airways,,HurnerAndTooch,,0,@USAirways And cherry on top-flight 880 was on runway after we landed ON TIME for 45 mins. Still didn't get half the luggage.,,2/21/15 19:31,5.69339e+17,Virginia,
3396,681453146,False,finalized,3,2/25/15 6:23,positive,0.6632,,0.0,United,,canmoregolfer,,0,@united Thank you for responding so promptly! I look forward to the 240 kms drive to the office to file a claim.,,2/19/15 9:53,5.68468e+17,,
13858,681679016,False,finalized,3,2/25/15 19:34,negative,1.0,Customer Service Issue,0.35100000000000003,American,,cjdjpdx,,0,@AmericanAir @ti2469 oh shiz i'm only 40 minutes into my wait after the first 3 hour barrier ...unbelievable,,2/22/15 19:29,5.69701e+17,"Portland, Orygun",America/Los_Angeles
2189,681451425,False,finalized,3,2/25/15 6:38,negative,1.0,Flight Attendant Complaints,1.0,United,,throthra,,1,@united why do you hire POS pilots? Thanks for ruining my trip and not allowing me to see my buddy as he turns 30. #unitedsucksdick,,2/21/15 18:27,5.69323e+17,,
319,681448805,False,finalized,3,2/25/15 9:48,neutral,1.0,,,Virgin America,,BFPTravel,,0,@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,,2/20/15 0:30,5.68689e+17,,London
13162,681678317,False,finalized,3,2/25/15 19:06,positive,1.0,,,American,,1JENSABA,,0,"@AmericanAir sure, thank you!",,2/23/15 10:22,5.69925e+17,"Chicago,IL",Central Time (US & Canada)
14357,681679516,False,finalized,3,2/25/15 18:51,negative,1.0,Can't Tell,0.3401,American,,isainsbury,,0,@AmericanAir the ticket is a poor gesture of goodwill (for missed trip) to a top status flyer - I may not next time (AA91 LHR-ORD 2/16),,2/22/15 14:42,5.69628e+17,"Great Abington, Cambridge, GB",London
4767,681454760,False,finalized,3,2/25/15 9:58,neutral,1.0,,,Southwest,,charlesr99,,0,@SouthwestAir Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/v4ZVUGMkJw,,2/23/15 5:46,5.69856e+17,Everywhere,Atlantic Time (Canada)
1593,681450457,False,finalized,3,2/25/15 3:40,negative,1.0,Bad Flight,0.6522,United,,FernHeinig18,,0,@united how can a plane that has been sitting in a hanger all day have numerous mechanical problems. Doesn't anyone actually do maintenance,,2/22/15 16:14,5.69652e+17,,
3351,681453069,False,finalized,3,2/25/15 2:48,neutral,0.6473,,0.0,United,,blake_music,,0,@united it's cool. I didn't need to go to work today. Or get home to make sure my house is ok in the -30 wind chill.,,2/19/15 12:14,5.68504e+17,Fort Wayne,Quito
8851,681459890,False,finalized,3,2/25/15 8:34,neutral,1.0,,,Delta,,vincenzolandino,,0,"@JetBlue I know where you guys jet! LOL, but if you love me so much, help a brother out :) Hot weather, great nightlife, 2-3 hour flight",,2/17/15 13:42,5.67801e+17,NYC | CT,Eastern Time (US & Canada)
10800,681462094,False,finalized,3,2/25/15 3:59,negative,1.0,Customer Service Issue,1.0,US Airways,,sweep007,,0,@USAirways it's painful being on hold to you!! Really 25 minutes to change a flight!! http://t.co/ocqk0JFXuA,,2/20/15 12:04,5.68864e+17,London ,
6304,681456556,False,finalized,3,2/25/15 1:01,negative,1.0,Late Flight,1.0,Southwest,,MsPersia,,0,"@SouthwestAir she cut people off 35 minutes before flight time to check in bags, for a flight that was delayed 2 hours! I waited 8 more hrs!",,2/18/15 7:28,5.6807e+17,San Francisco,Pacific Time (US & Canada)
12342,681677489,False,finalized,3,2/25/15 19:23,positive,1.0,,,American,,chadstallion,,0,"@AmericanAir thank you AA, this is how I always start my vacations http://t.co/dzKc3auZU9","[33.8143379, -116.53572408]",2/24/15 6:11,5.70224e+17,,Central Time (US & Canada)
6951,681457448,False,finalized,3,2/25/15 0:50,neutral,0.6701,,0.0,Delta,,MALTSCHLITZMANN,,0,@JetBlue @weepysweetmonty i heard youre planning on letting people fly in the overhead compartments. why would you do that?,,2/23/15 14:58,5.69995e+17,,Eastern Time (US & Canada)
5982,681456131,False,finalized,3,2/25/15 3:33,negative,1.0,longlines,0.3368,Southwest,,slaffere,,0,@SouthwestAir please hire an efficiency consultant to manage your PHX baggage checkin. Way to many open kiosks with 100's of ppl waiting,,2/19/15 8:32,5.68448e+17,"Dallas, TX",Central Time (US & Canada)
10754,681462047,False,finalized,3,2/25/15 9:27,negative,0.6806,Late Flight,0.6806,US Airways,,thomasrhodes,,0,@usairways is there not a faster way to get me to Columbia Sc than making me stay in CLT over night after my delayed flight?,,2/20/15 14:50,5.68905e+17,South Carolina ,
1875,681451018,False,finalized,3,2/25/15 7:41,neutral,1.0,,,United,,WayneMAaron,,2,@united.  Pls hold UA2066 for 9 cnx pax frm UA6194.  All runners.  A 5 min hold will save 2 fam frm miscnx.  Pls. Twitter is watching.,,2/22/15 8:57,5.69542e+17,,
8016,681458786,False,finalized,3,2/25/15 2:08,positive,0.6526,,,Delta,,yaffasolin,,0,"@JetBlue messaged you, thanks",,2/20/15 12:34,5.68871e+17,New York,Pacific Time (US & Canada)
